user_id	video_id	view_at
8101	5099	2024-05-14 09:41:07
153	5099	2024-05-19 06:27:24
1074	5099	2024-09-28 18:44:28
6824	5099	2023-12-26 10:28:59
5853	5099	2025-09-19 15:51:56
4917	5099	2024-11-09 03:27:54
9953	5099	2024-09-25 04:02:29
2005	5099	2024-07-22 10:33:36
2478	5099	2024-01-07 23:10:34
1142	5099	2025-09-02 16:46:24
6948	5099	2024-12-06 18:59:45
7425	5099	2025-02-28 08:54:29
5302	5099	2024-04-01 12:05:53
5155	5099	2024-06-26 13:01:20
4251	5099	2024-05-28 18:08:03
7672	5099	2023-09-27 19:47:55
7909	5099	2024-07-25 14:54:58
9144	5099	2024-03-23 02:46:59
4603	5099	2023-10-25 15:25:01
8103	5099	2025-09-24 15:50:39
5973	5099	2024-01-21 02:41:50
6719	5099	2024-08-10 07:50:20
2540	5099	2024-06-12 19:59:48
4806	5099	2024-06-21 03:54:32
9638	5099	2024-03-20 13:59:05
7324	5099	2024-08-28 22:31:09
7774	5099	2023-10-12 02:06:48
4954	5099	2024-10-29 07:19:15
6792	5099	2025-08-24 23:27:10
2290	5099	2024-04-05 17:31:57
8162	5099	2025-07-01 03:57:22
8261	5099	2025-03-26 17:50:14
3199	5099	2025-08-21 15:10:54
9955	5099	2024-09-30 20:30:20
6082	5099	2024-03-10 10:30:56
2749	5099	2024-10-20 05:33:18
656	5099	2024-07-26 04:25:37
2063	5099	2023-10-26 23:53:25
7389	5099	2024-04-23 16:11:42
1272	5099	2025-09-18 01:44:55
5737	5099	2024-07-06 05:53:49
4068	5099	2024-09-26 16:50:05
5070	5099	2025-02-23 11:25:48
9583	5099	2024-06-04 01:46:52
545	5099	2024-06-06 03:03:06
567	5099	2025-08-16 16:43:02
2787	5099	2024-07-06 18:03:25
4993	5099	2024-11-28 00:41:41
2848	5099	2025-05-02 17:12:00
3848	5099	2023-11-21 20:20:50
765	5099	2024-10-15 04:51:53
2894	5099	2024-04-12 09:22:07
9403	5099	2024-06-13 10:11:14
5397	5099	2024-09-19 17:36:48
2657	5099	2025-05-14 06:01:39
120	5099	2024-12-14 02:28:54
4774	5099	2024-01-13 19:39:43
9359	5099	2024-01-12 14:55:39
5477	5099	2024-02-13 18:28:09
6664	5099	2025-03-29 18:53:16
9616	5099	2024-04-08 09:29:18
7789	5099	2025-07-02 05:42:00
2588	5099	2025-07-23 12:30:30
1989	5099	2024-08-11 18:15:47
5870	5099	2024-02-25 07:34:28
9518	5099	2025-03-05 15:06:39
3911	5099	2024-12-15 01:22:52
6215	5099	2024-07-23 09:46:26
2646	5099	2023-10-18 05:13:03
4467	5100	2025-03-18 09:27:53
8933	5100	2025-06-24 12:32:52
8990	5100	2025-04-26 08:24:54
5435	5100	2024-05-11 21:30:18
4746	5100	2023-11-30 07:20:07
5494	5100	2024-07-03 15:00:09
9711	5100	2024-03-11 18:34:06
6555	5100	2024-05-21 09:30:37
9169	5100	2025-02-17 14:44:23
9151	5100	2025-02-02 05:00:12
5532	5100	2023-12-24 23:24:04
8110	5100	2025-04-12 18:04:12
8266	5100	2023-12-14 14:30:11
9617	5100	2025-09-15 14:27:10
2152	5100	2024-09-17 05:11:10
8695	5100	2024-07-07 09:49:16
215	5100	2023-11-04 14:18:44
4182	5100	2024-08-17 04:19:23
9743	5100	2024-02-06 15:15:15
3816	5100	2024-02-04 15:03:23
8143	5100	2025-06-19 10:39:58
7427	5100	2024-10-28 11:41:05
4439	5100	2024-03-29 06:34:11
2714	5100	2024-08-29 11:57:00
4486	5100	2023-11-09 05:43:02
4627	5100	2025-09-10 09:32:06
660	5100	2025-02-18 02:48:56
2582	5100	2025-01-31 18:38:02
3248	5100	2025-03-04 20:09:20
